url_path,views_total,views_unique
/BiBiServ/bibigrid,14,10
/BiBiServ/bibigrid/issues,9,3
/BiBiServ/bibigrid/blob/master/documentation/markdown/features/configuration.md,4,3
/BiBiServ/bibigrid/blob/master/bibigrid.yaml,3,1
/BiBiServ/bibigrid/issues/706,2,1
/BiBiServ/bibigrid/actions/runs/13117500701/usage,1,1
/BiBiServ/bibigrid/actions/runs/16413303856,1,1
/BiBiServ/bibigrid/blob/master/README.md,1,1
/BiBiServ/bibigrid/blob/master/documentation/markdown/bibigrid_software_list.md,1,1
/BiBiServ/bibigrid/blob/master/documentation/markdown/features/CLI.md,1,1
