time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,2,1,0,0
2026-08-30 00:00:00+00:00,2,2,1,1
2026-08-31 00:00:00+00:00,26,14,0,0
2026-09-01 00:00:00+00:00,8,7,4,2
2026-09-02 00:00:00+00:00,10,10,0,0
2026-09-03 00:00:00+00:00,11,6,1,1
2026-09-04 00:00:00+00:00,2,1,1,1
2026-09-05 00:00:00+00:00,2,2,0,0
2026-09-06 00:00:00+00:00,2,2,1,1
2026-09-07 00:00:00+00:00,12,11,0,0
2026-09-08 00:00:00+00:00,1,1,4,3
2026-09-09 00:00:00+00:00,1,1,0,0
2026-09-10 00:00:00+00:00,30,30,0,0
2026-09-11 00:00:00+00:00,99,16,1,1
