time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-23 00:00:00+00:00,5,4,6,6
2025-12-24 00:00:00+00:00,2,1,3,3
2025-12-25 00:00:00+00:00,3,2,4,4
2025-12-26 00:00:00+00:00,0,0,2,2
2025-12-27 00:00:00+00:00,1,1,0,0
2025-12-28 00:00:00+00:00,0,0,0,0
2025-12-29 00:00:00+00:00,0,0,0,0
2025-12-30 00:00:00+00:00,2,2,1,1
2025-12-31 00:00:00+00:00,9,6,0,0
2026-01-01 00:00:00+00:00,0,0,0,0
2026-01-02 00:00:00+00:00,3,2,2,2
2026-01-03 00:00:00+00:00,2,2,0,0
2026-01-04 00:00:00+00:00,1,1,4,3
2026-01-05 00:00:00+00:00,1,1,1,1
2026-01-06 00:00:00+00:00,3,3,0,0
2026-01-07 00:00:00+00:00,25,15,19,7
2026-01-08 00:00:00+00:00,5,4,8,3
2026-01-09 00:00:00+00:00,1,1,1,1
2026-01-10 00:00:00+00:00,15,1,0,0
2026-01-11 00:00:00+00:00,0,0,0,0
2026-01-12 00:00:00+00:00,2,2,2,2
2026-01-13 00:00:00+00:00,26,12,10,3
2026-01-14 00:00:00+00:00,6,4,18,8
2026-01-15 00:00:00+00:00,49,10,2,2
2026-01-16 00:00:00+00:00,1,1,0,0
2026-01-17 00:00:00+00:00,3,3,1,1
2026-01-18 00:00:00+00:00,1,1,3,3
2026-01-19 00:00:00+00:00,0,0,1,1
2026-01-20 00:00:00+00:00,17,11,2,2
2026-01-21 00:00:00+00:00,4,4,1,1
