time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,3,2,3,2
2026-08-26 00:00:00+00:00,3,3,6,1
2026-08-27 00:00:00+00:00,0,0,1,1
2026-08-28 00:00:00+00:00,1,1,2,1
2026-08-29 00:00:00+00:00,0,0,2,2
2026-08-30 00:00:00+00:00,0,0,1,1
2026-08-31 00:00:00+00:00,1,1,4,4
2026-09-01 00:00:00+00:00,5,4,4,4
2026-09-02 00:00:00+00:00,3,3,2,1
2026-09-03 00:00:00+00:00,11,9,5,3
2026-09-04 00:00:00+00:00,1,1,4,1
2026-09-05 00:00:00+00:00,0,0,4,3
2026-09-06 00:00:00+00:00,1,1,0,0
2026-09-07 00:00:00+00:00,0,0,7,2
