time_iso8601,stars_cumulative
2017-12-29 00:00:00+00:00,1
2018-01-09 00:00:00+00:00,2
2018-11-11 00:00:00+00:00,3
2019-03-21 00:00:00+00:00,4
2019-08-06 00:00:00+00:00,5
2019-08-22 00:00:00+00:00,6
2020-03-18 00:00:00+00:00,7
2020-03-23 00:00:00+00:00,8
2020-10-22 00:00:00+00:00,9
2021-02-22 00:00:00+00:00,10
2021-02-27 00:00:00+00:00,11
2021-03-02 00:00:00+00:00,12
2021-03-25 00:00:00+00:00,13
2021-08-29 00:00:00+00:00,14
2021-11-15 00:00:00+00:00,15
2022-04-01 00:00:00+00:00,16
2023-02-20 00:00:00+00:00,17
2023-04-28 00:00:00+00:00,18
2023-11-23 00:00:00+00:00,19
2024-02-27 00:00:00+00:00,20
2024-03-12 00:00:00+00:00,21
2024-03-15 00:00:00+00:00,22
2024-05-03 00:00:00+00:00,23
2024-10-03 00:00:00+00:00,24
2024-10-18 00:00:00+00:00,25
2024-11-29 00:00:00+00:00,26
2025-01-24 00:00:00+00:00,27
2025-02-17 00:00:00+00:00,28
2025-06-20 00:00:00+00:00,29
2025-11-15 00:00:00+00:00,30
2025-12-07 00:00:00+00:00,31
2025-12-16 00:00:00+00:00,32
2026-02-01 00:00:00+00:00,33
