url_path,views_total,views_unique
/CAMI-challenge/CAMISIM,178,68
/CAMI-challenge/CAMISIM/wiki/User-manual,52,25
/CAMI-challenge/CAMISIM/wiki/Configuration-File-Options,31,8
/CAMI-challenge/CAMISIM/tree/add_tests,24,1
/CAMI-challenge/CAMISIM/issues,21,7
/CAMI-challenge/CAMISIM/releases,20,14
/CAMI-challenge/CAMISIM/tree/master/CAMI1_documentation,15,8
/CAMI-challenge/CAMISIM/tree/master,15,7
/CAMI-challenge/CAMISIM/tree/master/pipelines/metagenomic,12,4
/CAMI-challenge/CAMISIM/wiki/CAMISIM-1.3,11,6
