time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-21 00:00:00+00:00,119,12,16,10
2026-08-22 00:00:00+00:00,4,4,5,4
2026-08-23 00:00:00+00:00,4,3,3,3
2026-08-24 00:00:00+00:00,6,3,32,15
2026-08-25 00:00:00+00:00,6,6,34,9
2026-08-26 00:00:00+00:00,7,7,22,6
2026-08-27 00:00:00+00:00,6,4,21,6
2026-08-28 00:00:00+00:00,18,6,16,9
2026-08-29 00:00:00+00:00,3,2,0,0
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,9,8,11,4
2026-09-01 00:00:00+00:00,14,12,18,8
2026-09-02 00:00:00+00:00,6,6,14,6
2026-09-03 00:00:00+00:00,5,4,42,8
