time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-08 00:00:00+00:00,0,0,28,3
2024-07-09 00:00:00+00:00,1,1,110,18
2024-07-10 00:00:00+00:00,3,2,286,22
2024-07-11 00:00:00+00:00,0,0,105,18
2024-07-12 00:00:00+00:00,4,1,148,15
2024-07-13 00:00:00+00:00,1,1,3,2
2024-07-14 00:00:00+00:00,1,1,20,6
2024-07-15 00:00:00+00:00,1,1,83,12
2024-07-16 00:00:00+00:00,2,2,238,10
2024-07-17 00:00:00+00:00,2,2,154,14
2024-07-18 00:00:00+00:00,0,0,109,11
2024-07-19 00:00:00+00:00,0,0,74,16
2024-07-20 00:00:00+00:00,0,0,1,1
2024-07-21 00:00:00+00:00,0,0,64,8
2024-07-22 00:00:00+00:00,0,0,97,11
2024-07-23 00:00:00+00:00,1,1,113,17
2024-07-24 00:00:00+00:00,1,1,46,15
2024-07-25 00:00:00+00:00,3,3,107,15
2024-07-26 00:00:00+00:00,1,1,90,16
2024-07-27 00:00:00+00:00,0,0,20,5
2024-07-28 00:00:00+00:00,1,1,9,2
2024-07-29 00:00:00+00:00,0,0,480,15
2024-07-30 00:00:00+00:00,0,0,336,17
2024-07-31 00:00:00+00:00,1,1,220,16
2024-08-01 00:00:00+00:00,0,0,174,19
2024-08-02 00:00:00+00:00,1,1,85,7
2024-08-03 00:00:00+00:00,0,0,9,4
2024-08-04 00:00:00+00:00,0,0,3,2
2024-08-05 00:00:00+00:00,1,1,63,12
2024-08-06 00:00:00+00:00,4,3,140,11
2024-08-07 00:00:00+00:00,0,0,183,5
2024-08-08 00:00:00+00:00,2,2,116,12
2024-08-09 00:00:00+00:00,2,1,184,11
2024-08-10 00:00:00+00:00,1,1,3,3
2024-08-11 00:00:00+00:00,0,0,2,2
2024-08-12 00:00:00+00:00,0,0,58,16
2024-08-13 00:00:00+00:00,0,0,109,11
2024-08-14 00:00:00+00:00,0,0,64,10
2024-08-15 00:00:00+00:00,2,2,90,10
2024-08-16 00:00:00+00:00,0,0,53,10
2024-08-17 00:00:00+00:00,0,0,24,9
2024-08-18 00:00:00+00:00,0,0,7,3
2024-08-19 00:00:00+00:00,0,0,30,10
2024-08-20 00:00:00+00:00,0,0,31,13
2024-08-21 00:00:00+00:00,0,0,25,12
2024-08-22 00:00:00+00:00,1,1,28,11
2024-08-23 00:00:00+00:00,0,0,25,8
2024-08-24 00:00:00+00:00,0,0,4,2
2024-08-25 00:00:00+00:00,0,0,17,7
2024-08-26 00:00:00+00:00,2,2,77,7
2024-08-27 00:00:00+00:00,0,0,49,14
2024-08-28 00:00:00+00:00,0,0,202,14
2024-08-29 00:00:00+00:00,1,1,146,11
2024-08-30 00:00:00+00:00,0,0,307,14
2024-08-31 00:00:00+00:00,1,1,44,8
2024-09-01 00:00:00+00:00,0,0,7,4
2024-09-02 00:00:00+00:00,2,1,225,17
2024-09-03 00:00:00+00:00,0,0,154,9
2024-09-04 00:00:00+00:00,0,0,270,21
2024-09-05 00:00:00+00:00,2,2,161,13
2024-09-06 00:00:00+00:00,0,0,39,8
2024-09-07 00:00:00+00:00,0,0,1,1
2024-09-08 00:00:00+00:00,0,0,22,9
2024-09-09 00:00:00+00:00,2,2,136,13
2024-09-10 00:00:00+00:00,0,0,218,23
2024-09-11 00:00:00+00:00,3,3,143,22
2024-09-12 00:00:00+00:00,0,0,93,20
2024-09-13 00:00:00+00:00,1,1,94,16
2024-09-14 00:00:00+00:00,0,0,11,7
2024-09-15 00:00:00+00:00,0,0,2,2
2024-09-16 00:00:00+00:00,2,2,93,17
2024-09-17 00:00:00+00:00,0,0,71,13
2024-09-18 00:00:00+00:00,0,0,60,15
2024-09-19 00:00:00+00:00,0,0,96,13
2024-09-20 00:00:00+00:00,0,0,23,9
2024-09-21 00:00:00+00:00,0,0,19,6
2024-09-22 00:00:00+00:00,0,0,13,4
2024-09-23 00:00:00+00:00,1,1,30,8
2024-09-24 00:00:00+00:00,0,0,55,13
2024-09-25 00:00:00+00:00,0,0,29,11
2024-09-26 00:00:00+00:00,0,0,78,13
2024-09-27 00:00:00+00:00,2,2,76,13
2024-09-28 00:00:00+00:00,0,0,1,1
2024-09-29 00:00:00+00:00,2,2,16,6
2024-09-30 00:00:00+00:00,1,1,92,12
2024-10-01 00:00:00+00:00,0,0,80,13
2024-10-02 00:00:00+00:00,1,1,103,17
2024-10-03 00:00:00+00:00,0,0,15,6
2024-10-04 00:00:00+00:00,0,0,35,7
2024-10-06 00:00:00+00:00,0,0,17,6
2024-10-07 00:00:00+00:00,0,0,51,10
2024-10-08 00:00:00+00:00,2,2,70,13
2024-10-09 00:00:00+00:00,0,0,41,11
2024-10-10 00:00:00+00:00,1,1,93,12
2024-10-11 00:00:00+00:00,1,1,63,8
2024-10-12 00:00:00+00:00,0,0,4,3
2024-10-13 00:00:00+00:00,0,0,11,5
2024-10-14 00:00:00+00:00,1,1,12,9
2024-10-15 00:00:00+00:00,0,0,40,14
2024-10-16 00:00:00+00:00,2,1,56,15
2024-10-17 00:00:00+00:00,4,1,75,12
2024-10-18 00:00:00+00:00,2,2,40,10
2024-10-19 00:00:00+00:00,0,0,2,2
2024-10-20 00:00:00+00:00,0,0,18,4
2024-10-21 00:00:00+00:00,1,1,14,7
2024-10-22 00:00:00+00:00,2,1,30,12
2024-10-23 00:00:00+00:00,0,0,61,12
2024-10-24 00:00:00+00:00,0,0,90,9
2024-10-25 00:00:00+00:00,1,1,9,4
2024-10-26 00:00:00+00:00,0,0,10,4
2024-10-27 00:00:00+00:00,0,0,20,6
2024-10-28 00:00:00+00:00,1,1,80,14
2024-10-29 00:00:00+00:00,1,1,107,9
2024-10-30 00:00:00+00:00,0,0,46,12
2024-10-31 00:00:00+00:00,0,0,11,7
2024-11-01 00:00:00+00:00,0,0,7,3
2024-11-02 00:00:00+00:00,0,0,19,4
2024-11-03 00:00:00+00:00,0,0,3,3
2024-11-04 00:00:00+00:00,0,0,49,4
2024-11-05 00:00:00+00:00,1,1,38,8
2024-11-06 00:00:00+00:00,1,1,26,14
2024-11-07 00:00:00+00:00,1,1,22,10
2024-11-08 00:00:00+00:00,0,0,16,6
2024-11-09 00:00:00+00:00,0,0,1,1
2024-11-10 00:00:00+00:00,1,1,39,6
2024-11-11 00:00:00+00:00,1,1,47,11
2024-11-12 00:00:00+00:00,0,0,13,7
2024-11-13 00:00:00+00:00,0,0,64,12
2024-11-14 00:00:00+00:00,1,1,83,17
2024-11-15 00:00:00+00:00,2,2,39,11
2024-11-16 00:00:00+00:00,3,3,49,4
2024-11-17 00:00:00+00:00,0,0,44,10
2024-11-18 00:00:00+00:00,4,4,89,13
2024-11-19 00:00:00+00:00,0,0,106,29
2024-11-20 00:00:00+00:00,2,2,342,17
2024-11-21 00:00:00+00:00,0,0,126,18
2024-11-22 00:00:00+00:00,1,1,113,16
2024-11-23 00:00:00+00:00,0,0,7,5
2024-11-24 00:00:00+00:00,0,0,52,9
2024-11-25 00:00:00+00:00,5,2,147,31
2024-11-26 00:00:00+00:00,1,1,179,25
2024-11-27 00:00:00+00:00,2,2,90,15
2024-11-28 00:00:00+00:00,0,0,89,16
2024-11-29 00:00:00+00:00,0,0,65,11
2024-11-30 00:00:00+00:00,0,0,18,4
2024-12-01 00:00:00+00:00,1,1,78,11
2024-12-02 00:00:00+00:00,0,0,37,12
2024-12-03 00:00:00+00:00,2,2,114,24
2024-12-04 00:00:00+00:00,0,0,23,12
2024-12-05 00:00:00+00:00,0,0,48,12
2024-12-06 00:00:00+00:00,0,0,36,14
2024-12-07 00:00:00+00:00,2,2,7,4
2024-12-08 00:00:00+00:00,0,0,29,9
2024-12-09 00:00:00+00:00,3,3,49,15
2024-12-10 00:00:00+00:00,0,0,153,17
2024-12-11 00:00:00+00:00,3,3,227,18
2024-12-12 00:00:00+00:00,1,1,102,13
2024-12-13 00:00:00+00:00,0,0,36,9
2024-12-14 00:00:00+00:00,0,0,14,5
2024-12-15 00:00:00+00:00,1,1,9,3
2024-12-16 00:00:00+00:00,0,0,76,14
2024-12-17 00:00:00+00:00,0,0,112,16
2024-12-18 00:00:00+00:00,1,1,42,7
2024-12-19 00:00:00+00:00,0,0,88,12
2024-12-20 00:00:00+00:00,0,0,48,14
2024-12-21 00:00:00+00:00,0,0,22,4
2024-12-22 00:00:00+00:00,0,0,8,6
2024-12-23 00:00:00+00:00,0,0,35,12
2024-12-24 00:00:00+00:00,0,0,132,12
2024-12-25 00:00:00+00:00,0,0,83,10
2024-12-26 00:00:00+00:00,0,0,71,7
2024-12-27 00:00:00+00:00,1,1,15,8
2024-12-28 00:00:00+00:00,0,0,11,4
2024-12-29 00:00:00+00:00,0,0,4,3
2024-12-30 00:00:00+00:00,0,0,5,3
2024-12-31 00:00:00+00:00,0,0,4,2
2025-01-01 00:00:00+00:00,0,0,25,8
2025-01-02 00:00:00+00:00,0,0,54,14
2025-01-03 00:00:00+00:00,0,0,26,7
2025-01-04 00:00:00+00:00,0,0,12,4
2025-01-05 00:00:00+00:00,0,0,9,5
2025-01-06 00:00:00+00:00,0,0,19,8
2025-01-07 00:00:00+00:00,1,1,41,11
2025-01-08 00:00:00+00:00,1,1,130,20
2025-01-09 00:00:00+00:00,1,1,79,18
2025-01-10 00:00:00+00:00,4,3,61,10
2025-01-11 00:00:00+00:00,0,0,4,2
2025-01-12 00:00:00+00:00,0,0,9,5
2025-01-13 00:00:00+00:00,0,0,51,11
2025-01-14 00:00:00+00:00,2,2,15,8
2025-01-15 00:00:00+00:00,0,0,85,15
2025-01-16 00:00:00+00:00,0,0,146,11
2025-01-17 00:00:00+00:00,1,1,55,7
2025-01-18 00:00:00+00:00,0,0,5,2
2025-01-19 00:00:00+00:00,0,0,8,5
2025-01-20 00:00:00+00:00,1,1,12,7
2025-01-21 00:00:00+00:00,1,1,14,8
2025-01-22 00:00:00+00:00,0,0,47,9
2025-01-23 00:00:00+00:00,0,0,35,5
2025-01-24 00:00:00+00:00,0,0,33,9
2025-01-25 00:00:00+00:00,0,0,4,4
2025-01-26 00:00:00+00:00,0,0,29,5
2025-01-27 00:00:00+00:00,0,0,55,12
2025-01-28 00:00:00+00:00,1,1,28,10
2025-01-29 00:00:00+00:00,0,0,61,12
2025-01-30 00:00:00+00:00,3,3,55,11
2025-01-31 00:00:00+00:00,4,3,34,9
2025-02-01 00:00:00+00:00,0,0,6,5
2025-02-02 00:00:00+00:00,0,0,28,9
2025-02-03 00:00:00+00:00,4,4,33,3
2025-02-04 00:00:00+00:00,1,1,79,11
2025-02-05 00:00:00+00:00,2,2,63,11
2025-02-06 00:00:00+00:00,1,1,30,12
2025-02-07 00:00:00+00:00,1,1,41,6
2025-02-08 00:00:00+00:00,1,1,29,7
2025-02-09 00:00:00+00:00,1,1,19,7
2025-02-10 00:00:00+00:00,2,2,63,13
2025-02-11 00:00:00+00:00,3,2,27,9
2025-02-12 00:00:00+00:00,1,1,34,11
2025-02-13 00:00:00+00:00,4,2,38,16
2025-02-14 00:00:00+00:00,6,5,70,9
2025-02-15 00:00:00+00:00,0,0,4,3
2025-02-16 00:00:00+00:00,2,2,36,3
2025-02-17 00:00:00+00:00,10,4,40,12
2025-02-18 00:00:00+00:00,5,4,49,16
2025-02-19 00:00:00+00:00,1,1,141,21
2025-02-20 00:00:00+00:00,0,0,37,11
2025-02-21 00:00:00+00:00,1,1,103,21
2025-02-22 00:00:00+00:00,1,1,12,4
2025-02-23 00:00:00+00:00,0,0,53,9
2025-02-24 00:00:00+00:00,2,2,110,12
2025-02-25 00:00:00+00:00,3,3,160,22
2025-02-26 00:00:00+00:00,0,0,64,18
2025-02-27 00:00:00+00:00,2,2,111,18
2025-02-28 00:00:00+00:00,2,2,43,12
2025-03-01 00:00:00+00:00,0,0,11,2
2025-03-02 00:00:00+00:00,3,2,14,5
2025-03-03 00:00:00+00:00,6,1,6,4
2025-03-04 00:00:00+00:00,3,3,19,9
2025-03-05 00:00:00+00:00,4,3,39,9
2025-03-06 00:00:00+00:00,3,2,34,13
2025-03-07 00:00:00+00:00,0,0,27,10
2025-03-08 00:00:00+00:00,0,0,10,5
2025-03-09 00:00:00+00:00,0,0,19,4
2025-03-10 00:00:00+00:00,0,0,24,9
2025-03-11 00:00:00+00:00,5,4,58,13
2025-03-12 00:00:00+00:00,2,2,46,8
2025-03-13 00:00:00+00:00,1,1,169,19
2025-03-14 00:00:00+00:00,1,1,15,7
2025-03-15 00:00:00+00:00,3,3,11,4
2025-03-16 00:00:00+00:00,1,1,5,3
2025-03-17 00:00:00+00:00,9,6,49,14
2025-03-18 00:00:00+00:00,1,1,43,8
2025-03-19 00:00:00+00:00,1,1,40,16
2025-03-20 00:00:00+00:00,0,0,38,13
2025-03-21 00:00:00+00:00,0,0,28,7
2025-03-22 00:00:00+00:00,1,1,9,4
2025-03-23 00:00:00+00:00,2,2,8,3
2025-03-24 00:00:00+00:00,0,0,74,18
2025-03-25 00:00:00+00:00,0,0,17,10
2025-03-26 00:00:00+00:00,0,0,29,14
2025-03-27 00:00:00+00:00,5,5,107,14
2025-03-28 00:00:00+00:00,3,3,25,14
2025-03-29 00:00:00+00:00,1,1,5,3
2025-03-30 00:00:00+00:00,4,4,71,6
2025-03-31 00:00:00+00:00,5,4,109,19
2025-04-01 00:00:00+00:00,2,2,72,15
2025-04-02 00:00:00+00:00,0,0,24,13
2025-04-03 00:00:00+00:00,1,1,22,7
2025-04-04 00:00:00+00:00,4,4,14,2
2025-04-05 00:00:00+00:00,1,1,1,1
2025-04-06 00:00:00+00:00,1,1,33,2
2025-04-07 00:00:00+00:00,6,3,244,16
2025-04-08 00:00:00+00:00,0,0,57,7
2025-04-09 00:00:00+00:00,0,0,77,18
2025-04-10 00:00:00+00:00,0,0,48,13
2025-04-11 00:00:00+00:00,2,2,16,8
2025-04-12 00:00:00+00:00,5,4,3,3
2025-04-13 00:00:00+00:00,0,0,6,3
2025-04-14 00:00:00+00:00,5,4,224,15
2025-04-15 00:00:00+00:00,5,4,132,10
2025-04-16 00:00:00+00:00,1,1,70,16
2025-04-17 00:00:00+00:00,1,1,98,17
2025-04-18 00:00:00+00:00,0,0,45,12
2025-04-20 00:00:00+00:00,0,0,3,2
2025-04-21 00:00:00+00:00,0,0,22,8
2025-04-22 00:00:00+00:00,19,7,162,11
