time_iso8601,stars_cumulative
2018-05-03 00:00:00+00:00,1
2018-05-25 00:00:00+00:00,2
2018-09-22 00:00:00+00:00,3
2019-01-31 00:00:00+00:00,4
2019-02-06 00:00:00+00:00,7
2019-02-08 00:00:00+00:00,9
2019-03-12 00:00:00+00:00,10
2019-04-03 00:00:00+00:00,11
2019-06-19 00:00:00+00:00,12
2019-07-12 00:00:00+00:00,13
2020-02-06 00:00:00+00:00,14
2020-03-02 00:00:00+00:00,15
2020-06-30 00:00:00+00:00,16
2020-07-01 00:00:00+00:00,17
2020-08-19 00:00:00+00:00,22
2020-08-20 00:00:00+00:00,23
2021-06-03 00:00:00+00:00,24
2021-12-04 00:00:00+00:00,25
2022-07-26 00:00:00+00:00,26
2022-10-18 00:00:00+00:00,27
2023-12-16 00:00:00+00:00,28
2025-04-21 00:00:00+00:00,29
2025-06-25 00:00:00+00:00,30
