time_iso8601,stars_cumulative
2018-10-16 00:00:00+00:00,1
2019-03-05 00:00:00+00:00,2
2019-03-06 00:00:00+00:00,3
2019-04-01 00:00:00+00:00,4
2019-04-22 00:00:00+00:00,5
2019-07-23 00:00:00+00:00,6
2019-08-07 00:00:00+00:00,7
2019-08-13 00:00:00+00:00,8
2019-08-21 00:00:00+00:00,9
2019-08-26 00:00:00+00:00,10
2020-05-04 00:00:00+00:00,12
2021-03-02 00:00:00+00:00,13
2021-06-15 00:00:00+00:00,14
2021-12-01 00:00:00+00:00,15
2022-01-25 00:00:00+00:00,16
2022-04-25 00:00:00+00:00,17
2022-08-23 00:00:00+00:00,18
2022-10-23 00:00:00+00:00,19
2023-06-12 00:00:00+00:00,20
2023-06-20 00:00:00+00:00,21
2023-10-26 00:00:00+00:00,22
2024-02-15 00:00:00+00:00,23
2024-05-03 00:00:00+00:00,24
2024-07-10 00:00:00+00:00,25
2024-11-05 00:00:00+00:00,26
2025-01-30 00:00:00+00:00,27
2025-07-04 00:00:00+00:00,28
2025-07-25 00:00:00+00:00,29
2025-12-13 00:00:00+00:00,30
2026-02-13 00:00:00+00:00,30
