time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-08 00:00:00+00:00,0,0,1,1
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-19 00:00:00+00:00,2,2,0,0
2025-02-24 00:00:00+00:00,0,0,2,1
2025-02-27 00:00:00+00:00,0,0,1,1
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,0,0,4,1
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-16 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-26 00:00:00+00:00,1,1,0,0
2025-04-02 00:00:00+00:00,0,0,4,1
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,0,0,1,1
2025-04-13 00:00:00+00:00,1,1,0,0
2025-04-25 00:00:00+00:00,1,1,0,0
2025-04-30 00:00:00+00:00,0,0,2,2
2025-05-05 00:00:00+00:00,0,0,2,1
2025-05-06 00:00:00+00:00,0,0,1,1
2025-05-07 00:00:00+00:00,0,0,4,2
2025-05-12 00:00:00+00:00,0,0,5,2
2025-05-14 00:00:00+00:00,1,1,6,1
2025-05-15 00:00:00+00:00,0,0,1,1
2025-05-19 00:00:00+00:00,1,1,14,2
2025-05-28 00:00:00+00:00,5,5,8,2
2025-05-29 00:00:00+00:00,0,0,2,2
