url_path,views_total,views_unique
/gi-bielefeld/pangrowth,7,7
/gi-bielefeld/pangrowth/tree/2fd2479b6dee64b4272b31592f1ba107a91d373c,5,1
/gi-bielefeld/pangrowth/tree/2fd2479b6dee64b4272b31592f1ba107a91d373c/clowm,5,1
/gi-bielefeld/pangrowth/blob/2fd2479b6dee64b4272b31592f1ba107a91d373c/clowm/main.nf,4,1
/gi-bielefeld/pangrowth/tree/49a8d4ff7cf2551c5cc0461f97368d5a1ac3032a,2,2
/gi-bielefeld/pangrowth/tree/2fd2479b6dee64b4272b31592f1ba107a91d373c/png,2,1
/gi-bielefeld/pangrowth/tree/main/png,2,1
/gi-bielefeld/pangrowth/blob/2fd2479b6dee64b4272b31592f1ba107a91d373c/clowm/clowm_info.json,1,1
/gi-bielefeld/pangrowth/blob/2fd2479b6dee64b4272b31592f1ba107a91d373c/png/logo.png,1,1
/gi-bielefeld/pangrowth/blob/main/LICENSE,1,1
