time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,0,0,0,0
2026-09-11 00:00:00+00:00,0,0,0,0
2026-09-12 00:00:00+00:00,7,7,0,0
2026-09-13 00:00:00+00:00,1,1,0,0
2026-09-14 00:00:00+00:00,2,2,0,0
2026-09-15 00:00:00+00:00,18,8,1,1
2026-09-16 00:00:00+00:00,9,7,1,1
2026-09-17 00:00:00+00:00,15,10,0,0
2026-09-18 00:00:00+00:00,65,39,18,1
2026-09-19 00:00:00+00:00,16,7,1,1
2026-09-20 00:00:00+00:00,27,9,0,0
2026-09-21 00:00:00+00:00,11,4,1,1
2026-09-22 00:00:00+00:00,0,0,18,6
2026-09-23 00:00:00+00:00,3,1,0,0
