time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-31 00:00:00+00:00,1,1,0,0
2025-01-07 00:00:00+00:00,0,0,1,1
2025-01-08 00:00:00+00:00,0,0,3,1
2025-01-30 00:00:00+00:00,1,1,1,1
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,1,1,1,1
2025-02-10 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,2,2,1,1
2025-02-13 00:00:00+00:00,6,1,0,0
2025-02-14 00:00:00+00:00,1,1,0,0
2025-02-16 00:00:00+00:00,1,1,0,0
2025-02-17 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,1,1,2,1
2025-02-27 00:00:00+00:00,2,2,0,0
2025-03-03 00:00:00+00:00,1,1,0,0
2025-03-04 00:00:00+00:00,2,2,2,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,3,2,9,3
2025-03-12 00:00:00+00:00,1,1,0,0
2025-03-14 00:00:00+00:00,0,0,2,1
2025-03-15 00:00:00+00:00,4,3,0,0
2025-03-17 00:00:00+00:00,0,0,1,1
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-21 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,1,1,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-03-28 00:00:00+00:00,1,1,0,0
2025-04-03 00:00:00+00:00,1,1,0,0
2025-04-08 00:00:00+00:00,4,2,0,0
2025-04-18 00:00:00+00:00,1,1,0,0
