url_path,views_total,views_unique
/gi-bielefeld/plast,47,7
/gi-bielefeld/plast/tree/clowm,10,2
/gi-bielefeld/plast/blob/c27862c500c2798ed275f378fd1beffc69d8f929/clowm/mailto:pangenomics-service@cebitec.uni-bielefeld.de,4,1
/gi-bielefeld/plast/tree/clowm/clowm,4,1
/gi-bielefeld/plast/tags,3,2
/gi-bielefeld/plast/blob/clowm/clowm/CHANGELOG.md,3,1
/gi-bielefeld/plast/compare/clowm-v1.0.0...clowm-v1.0.1,3,1
/gi-bielefeld/plast/commit/4564a67b18abb2e0be3e8d40accab4375b964d2c,2,1
/gi-bielefeld/plast/releases/tag/clowm-v1.0.0,2,1
/gi-bielefeld/plast/tree/master,2,1
