time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-29 00:00:00+00:00,0,0,1,1
2024-12-31 00:00:00+00:00,0,0,1,1
2025-01-02 00:00:00+00:00,0,0,2,1
2025-01-04 00:00:00+00:00,1,1,0,0
2025-01-06 00:00:00+00:00,0,0,1,1
2025-01-07 00:00:00+00:00,0,0,2,1
2025-01-08 00:00:00+00:00,0,0,13,4
2025-01-30 00:00:00+00:00,0,0,2,1
2025-01-31 00:00:00+00:00,0,0,1,1
2025-02-03 00:00:00+00:00,1,1,1,1
2025-02-04 00:00:00+00:00,7,4,27,2
2025-02-05 00:00:00+00:00,0,0,2,2
2025-02-06 00:00:00+00:00,0,0,2,2
2025-02-07 00:00:00+00:00,4,1,23,4
2025-02-10 00:00:00+00:00,0,0,2,2
2025-02-11 00:00:00+00:00,0,0,3,2
2025-02-12 00:00:00+00:00,12,1,19,3
2025-02-13 00:00:00+00:00,0,0,2,2
2025-02-14 00:00:00+00:00,1,1,2,1
2025-02-16 00:00:00+00:00,0,0,4,1
2025-02-17 00:00:00+00:00,0,0,1,1
2025-02-18 00:00:00+00:00,0,0,3,2
2025-02-19 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,0,0,4,2
