time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-26 00:00:00+00:00,0,0,13,1
2024-12-27 00:00:00+00:00,1,1,2,1
2024-12-30 00:00:00+00:00,0,0,2,1
2025-01-02 00:00:00+00:00,1,1,1,1
2025-01-03 00:00:00+00:00,1,1,0,0
2025-01-05 00:00:00+00:00,1,1,1,1
2025-01-06 00:00:00+00:00,4,4,58,3
2025-01-07 00:00:00+00:00,17,8,35,1
2025-01-08 00:00:00+00:00,3,2,18,3
2025-01-29 00:00:00+00:00,22,8,82,2
2025-01-30 00:00:00+00:00,14,5,12,1
2025-01-31 00:00:00+00:00,1,1,1,1
2025-02-01 00:00:00+00:00,1,1,0,0
2025-02-02 00:00:00+00:00,1,1,0,0
2025-02-03 00:00:00+00:00,1,1,0,0
2025-02-04 00:00:00+00:00,3,2,4,2
2025-02-06 00:00:00+00:00,14,8,26,6
2025-02-07 00:00:00+00:00,9,6,21,2
2025-02-10 00:00:00+00:00,6,4,1,1
2025-02-11 00:00:00+00:00,12,6,19,3
2025-02-12 00:00:00+00:00,0,0,4,1
2025-02-14 00:00:00+00:00,1,1,7,1
2025-02-15 00:00:00+00:00,1,1,5,1
2025-02-16 00:00:00+00:00,0,0,2,1
2025-02-17 00:00:00+00:00,3,3,1,1
