time_iso8601,stars_cumulative
2020-10-22 00:00:00+00:00,1
2020-11-05 00:00:00+00:00,2
2021-01-27 00:00:00+00:00,8
2021-02-05 00:00:00+00:00,9
2021-02-12 00:00:00+00:00,10
2021-02-20 00:00:00+00:00,11
2021-03-10 00:00:00+00:00,12
2021-04-20 00:00:00+00:00,13
2021-05-28 00:00:00+00:00,14
2021-07-21 00:00:00+00:00,15
2021-09-23 00:00:00+00:00,16
2022-03-31 00:00:00+00:00,17
2022-12-12 00:00:00+00:00,18
2022-12-16 00:00:00+00:00,19
2023-03-16 00:00:00+00:00,20
2023-03-20 00:00:00+00:00,21
2023-09-19 00:00:00+00:00,22
2024-07-10 00:00:00+00:00,23
2024-09-04 00:00:00+00:00,24
2024-09-21 00:00:00+00:00,25
2024-11-15 00:00:00+00:00,26
2024-11-16 00:00:00+00:00,27
2024-11-18 00:00:00+00:00,28
2025-04-16 00:00:00+00:00,29
2025-05-30 00:00:00+00:00,30
2026-02-13 00:00:00+00:00,30
