time_iso8601,forks_cumulative
2021-02-10 00:00:00+00:00,1
2021-02-24 00:00:00+00:00,2
2022-02-24 00:00:00+00:00,4
2022-03-09 00:00:00+00:00,5
2022-03-15 00:00:00+00:00,6
2022-06-02 00:00:00+00:00,7
2022-08-26 00:00:00+00:00,8
2022-08-30 00:00:00+00:00,9
2022-10-31 00:00:00+00:00,10
2022-12-12 00:00:00+00:00,11
2023-04-05 00:00:00+00:00,12
2023-06-05 00:00:00+00:00,13
2024-03-19 00:00:00+00:00,14
2024-06-12 00:00:00+00:00,15
2025-11-07 00:00:00+00:00,16
2025-11-19 00:00:00+00:00,17
2025-12-02 00:00:00+00:00,18
2025-12-31 00:00:00+00:00,19
2026-02-04 00:00:00+00:00,20
