url_path,views_total,views_unique
/hzi-bifo/RiboDetector,144,74
/hzi-bifo/RiboDetector/tree/pip/ribodetector,55,7
/hzi-bifo/RiboDetector/issues,17,5
/hzi-bifo/RiboDetector/tree/pip/ribodetector/data,15,3
/hzi-bifo/RiboDetector/blob/pip/README.md,11,3
/hzi-bifo/RiboDetector/issues/53,11,1
/hzi-bifo/RiboDetector/tree/pip/ribodetector/data_loader,10,3
/hzi-bifo/RiboDetector/blob/pip/setup.py,9,3
/hzi-bifo/RiboDetector/tree/pip/ribodetector/base,9,3
/hzi-bifo/RiboDetector/tree/pip/ribodetector/benchmarks,7,3
