time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-23 00:00:00+00:00,2,2,8,6
2026-06-24 00:00:00+00:00,3,3,8,6
2026-06-25 00:00:00+00:00,1,1,18,10
2026-06-26 00:00:00+00:00,1,1,11,4
2026-06-27 00:00:00+00:00,2,1,6,3
2026-06-28 00:00:00+00:00,1,1,2,2
2026-06-29 00:00:00+00:00,0,0,10,8
2026-06-30 00:00:00+00:00,1,1,11,8
2026-07-01 00:00:00+00:00,2,1,12,10
2026-07-02 00:00:00+00:00,0,0,6,6
2026-07-03 00:00:00+00:00,1,1,4,3
2026-07-04 00:00:00+00:00,1,1,0,0
2026-07-05 00:00:00+00:00,2,2,3,2
2026-07-06 00:00:00+00:00,0,0,6,5
