time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-08 00:00:00+00:00,0,0,2,2
2024-07-09 00:00:00+00:00,0,0,34,13
2024-07-10 00:00:00+00:00,0,0,34,6
2024-07-11 00:00:00+00:00,0,0,20,8
2024-07-12 00:00:00+00:00,1,1,6,4
2024-07-13 00:00:00+00:00,0,0,6,2
2024-07-14 00:00:00+00:00,0,0,1,1
2024-07-15 00:00:00+00:00,0,0,12,10
2024-07-16 00:00:00+00:00,1,1,13,12
2024-07-17 00:00:00+00:00,0,0,33,13
2024-07-18 00:00:00+00:00,0,0,18,15
2024-07-19 00:00:00+00:00,2,2,37,14
2024-07-20 00:00:00+00:00,0,0,22,5
2024-07-21 00:00:00+00:00,0,0,4,4
2024-07-22 00:00:00+00:00,0,0,45,12
2024-07-23 00:00:00+00:00,0,0,46,14
2024-07-24 00:00:00+00:00,0,0,17,7
2024-07-25 00:00:00+00:00,0,0,36,17
2024-07-26 00:00:00+00:00,0,0,11,8
2024-07-27 00:00:00+00:00,0,0,13,6
2024-07-28 00:00:00+00:00,0,0,6,4
2024-07-29 00:00:00+00:00,0,0,25,12
2024-07-30 00:00:00+00:00,0,0,16,12
2024-07-31 00:00:00+00:00,0,0,15,11
2024-08-01 00:00:00+00:00,0,0,16,9
2024-08-02 00:00:00+00:00,0,0,13,12
2024-08-03 00:00:00+00:00,0,0,4,3
2024-08-04 00:00:00+00:00,0,0,2,2
2024-08-05 00:00:00+00:00,0,0,102,12
2024-08-06 00:00:00+00:00,0,0,12,10
2024-08-07 00:00:00+00:00,0,0,15,9
2024-08-08 00:00:00+00:00,0,0,27,5
2024-08-09 00:00:00+00:00,0,0,19,7
2024-08-10 00:00:00+00:00,0,0,1,1
2024-08-11 00:00:00+00:00,0,0,7,5
2024-08-12 00:00:00+00:00,0,0,28,11
2024-08-13 00:00:00+00:00,4,4,10,8
2024-08-14 00:00:00+00:00,1,1,8,7
2024-08-15 00:00:00+00:00,1,1,18,4
2024-08-16 00:00:00+00:00,3,3,70,5
2024-08-17 00:00:00+00:00,1,1,4,2
2024-08-18 00:00:00+00:00,0,0,1,1
2024-08-19 00:00:00+00:00,2,2,11,6
2024-08-20 00:00:00+00:00,3,3,14,6
2024-08-21 00:00:00+00:00,0,0,8,7
2024-08-22 00:00:00+00:00,2,1,61,9
2024-08-23 00:00:00+00:00,4,4,38,10
2024-08-25 00:00:00+00:00,0,0,3,2
2024-08-26 00:00:00+00:00,2,2,25,17
2024-08-27 00:00:00+00:00,0,0,29,16
2024-08-28 00:00:00+00:00,0,0,23,12
2024-08-29 00:00:00+00:00,3,3,14,8
