time_iso8601,forks_cumulative
2016-03-14 00:00:00+00:00,1
2016-06-08 00:00:00+00:00,2
2016-07-27 00:00:00+00:00,3
2017-03-05 00:00:00+00:00,4
2017-07-19 00:00:00+00:00,5
2017-11-26 00:00:00+00:00,6
2018-03-24 00:00:00+00:00,7
2018-07-03 00:00:00+00:00,8
2019-04-19 00:00:00+00:00,9
2019-08-12 00:00:00+00:00,10
2019-09-25 00:00:00+00:00,11
2020-03-05 00:00:00+00:00,12
2020-10-13 00:00:00+00:00,13
2022-02-28 00:00:00+00:00,14
2023-01-31 00:00:00+00:00,15
2024-11-20 00:00:00+00:00,16
2025-12-11 00:00:00+00:00,17
