url_path,views_total,views_unique
/hzi-bifo/traitar,21,15
/hzi-bifo/traitar/tree/master/traitar,16,3
/hzi-bifo/traitar/tree/master/traitar/data/sample_data,16,2
/hzi-bifo/traitar/tree/master/traitar/data,14,3
/hzi-bifo/traitar/blob/master/INSTALL.md,12,3
/hzi-bifo/traitar/blob/master/traitar/data/sample_data/samples.txt,10,2
/hzi-bifo/traitar/blob/master/README.md,8,2
/hzi-bifo/traitar/blob/master/traits.tsv,6,3
/hzi-bifo/traitar/tree/master/traitar/data/models,3,1
/hzi-bifo/traitar/blob/master/LICENSE,2,1
