url_path,views_total,views_unique
/metagenomics/metagenomics-tk,43,23
/metagenomics/metagenomics-tk/issues,7,3
/metagenomics/metagenomics-tk/commits/master,7,1
/metagenomics/metagenomics-tk/releases,4,2
/metagenomics/metagenomics-tk/releases/tag/0.16.0-rc.alpha,4,2
/metagenomics/metagenomics-tk/blob/master/docs/README.md,3,3
/metagenomics/metagenomics-tk/issues/451,3,1
/metagenomics/metagenomics-tk/blob/master/README.md,2,1
/metagenomics/metagenomics-tk/graphs/traffic,2,1
/metagenomics/metagenomics-tk/stargazers,2,1
