time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-28 00:00:00+00:00,1,1,15,2
2026-08-29 00:00:00+00:00,3,2,5,2
2026-08-30 00:00:00+00:00,0,0,3,1
2026-08-31 00:00:00+00:00,1,1,9,8
2026-09-01 00:00:00+00:00,1,1,1,1
2026-09-02 00:00:00+00:00,2,2,9,1
2026-09-03 00:00:00+00:00,14,5,16,5
2026-09-04 00:00:00+00:00,0,0,4,3
2026-09-05 00:00:00+00:00,0,0,1,1
2026-09-06 00:00:00+00:00,1,1,1,1
2026-09-07 00:00:00+00:00,0,0,9,3
2026-09-08 00:00:00+00:00,1,1,4,4
2026-09-09 00:00:00+00:00,13,7,21,6
2026-09-10 00:00:00+00:00,6,5,15,5
2026-09-11 00:00:00+00:00,12,8,20,6
2026-09-12 00:00:00+00:00,2,2,1,1
2026-09-13 00:00:00+00:00,25,13,0,0
2026-09-14 00:00:00+00:00,11,8,33,5
2026-09-15 00:00:00+00:00,3,3,9,7
2026-09-16 00:00:00+00:00,36,32,4,2
2026-09-17 00:00:00+00:00,7,5,8,2
2026-09-18 00:00:00+00:00,2,2,7,6
2026-09-19 00:00:00+00:00,5,5,0,0
2026-09-20 00:00:00+00:00,2,2,1,1
