time_iso8601,release,asset,count
2026-09-13 01:01:31.371594+00:00,v1.1.0,submg-gui-linux-v1.1.0,0
2026-09-13 01:01:31.371594+00:00,v1.1.0,submg-gui-windows-v1.1.0.exe,0
2026-09-13 01:01:31.371594+00:00,v1.0.3,submg-gui-103-linux,1
2026-09-13 01:01:31.371594+00:00,v1.0.3,submg-gui-103-win.exe,1
2026-09-13 01:01:31.371594+00:00,v1.0.2,submg-gui-linux-v1.0.2,7
2026-09-13 01:01:31.371594+00:00,v1.0.2,submg-gui-windows-v1.0.2.exe,5
2026-09-13 01:01:31.371594+00:00,v1.0.2,submg-v1.0.2.tar.gz,4
2026-09-13 01:01:31.371594+00:00,v1.0.2,submg-v1.0.2.zip,10
2026-09-13 01:01:31.371594+00:00,v1.0.1,submg-1.0.1.tar.gz,4
2026-09-13 01:01:31.371594+00:00,v1.0.1,submg-1.0.1.zip,3
2026-09-13 01:01:31.371594+00:00,v1.0.1,submg-gui-linux-v1.0.1,3
